dataset,algorithm,corr_threshold,const_threshold,seed,line_number
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,489,140
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,145,141
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,278,142
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,392,143
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,49,144
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,203,145
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,411,146
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,89,147
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,356,148
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,27,149
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.15,489,150
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,145,151
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,278,152
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,392,153
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,49,154
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,203,155
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,411,156
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,89,157
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,356,158
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,27,159
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.2,489,160
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,145,161
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,278,162
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,392,163
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,49,164
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,203,165
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,411,166
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,89,167
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,356,168
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,27,169
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.05,489,170
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,145,171
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,278,172
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,392,173
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,49,174
